Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BCKFreightTMS.Common\BCKFreightTMS.Common.csproj,File,BCKFreightTMS.Common\BCKFreightTMS.Common.csproj,,,Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 6.0.0,,,,,"Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, 6.0.0  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, and replace with new package Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BCKFreightTMS.Common\BCKFreightTMS.Common.csproj,File,BCKFreightTMS.Common\BCKFreightTMS.Common.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Data\BCKFreightTMS.Data.Common\BCKFreightTMS.Data.Common.csproj,File,Data\BCKFreightTMS.Data.Common\BCKFreightTMS.Data.Common.csproj,,,Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 6.0.0,,,,,"Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, 6.0.0  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, and replace with new package Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 10.0.2"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Data\BCKFreightTMS.Data.Common\BCKFreightTMS.Data.Common.csproj,File,Data\BCKFreightTMS.Data.Common\BCKFreightTMS.Data.Common.csproj,,,System.ComponentModel.Annotations 5.0.0.0,,,,,"System.ComponentModel.Annotations, 5.0.0.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Data\BCKFreightTMS.Data.Common\BCKFreightTMS.Data.Common.csproj,File,Data\BCKFreightTMS.Data.Common\BCKFreightTMS.Data.Common.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Data\BCKFreightTMS.Data\BCKFreightTMS.Data.csproj,File,Data\BCKFreightTMS.Data\BCKFreightTMS.Data.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 6.0.0,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 6.0.0  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Data\BCKFreightTMS.Data\BCKFreightTMS.Data.csproj,File,Data\BCKFreightTMS.Data\BCKFreightTMS.Data.csproj,,,Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 6.0.0,,,,,"Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, 6.0.0  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, and replace with new package Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Data\BCKFreightTMS.Data\BCKFreightTMS.Data.csproj,File,Data\BCKFreightTMS.Data\BCKFreightTMS.Data.csproj,,,Microsoft.EntityFrameworkCore.Design 6.0.0,,,,,"Microsoft.EntityFrameworkCore.Design, 6.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Data\BCKFreightTMS.Data\BCKFreightTMS.Data.csproj,File,Data\BCKFreightTMS.Data\BCKFreightTMS.Data.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.0,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Data\BCKFreightTMS.Data\BCKFreightTMS.Data.csproj,File,Data\BCKFreightTMS.Data\BCKFreightTMS.Data.csproj,,,Microsoft.EntityFrameworkCore.Tools 6.0.0,,,,,"Microsoft.EntityFrameworkCore.Tools, 6.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.2"
